Size,Head Diameter,Head Height,Drive Size
M2,4,1.2,1.3
M2.5,5,1.5,1.5
M3,6,1.7,2
M4,8,2.3,2.5
M5,10,2.8,3
M6,12,3.3,4
M8,16,4.4,5
M10,20,5.5,6
M12 ,24,6.5,8
