Size,Head Diameter,Head Height,Drive Size
M2,3.5,1.3,1.3
M2.5,4.5,1.5,1.5
M3,5.7,1.65,2
M4,7.6,2.2,2.5
M5,9.5,2.75,3
M6,10.5,3.3,4
M8,14,4.4,5
M10,17.5,5.5,6
M12 ,21,6.6,8
